Rank,Nome,SMILES,Formula,Score,CNS_MPO,BBB,MW,LogP,TPSA,HBD,HBA,SA_Score,Strain_kcal,N_Sistemas,Sistemas,N_Alertas,Estrategia
40,NZK3a_piperidina_C2OC_piridilpiperazina,c1cc(N2CCNCC2)ncc1COCC1CCCNC1,C16H26N4O,0.6783,5.5,ALTA,290.2,1.01,49.4,2,5,3.5,,3,colinergico|histaminergico|serotoninergico,0,core+link+pip
41,NZK3a_piperidina_C4_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCCCC1CCCNC1,C18H30N4,0.6779,5.5,ALTA,302.2,2.2,40.2,2,4,3.5,,3,colinergico|histaminergico|serotoninergico,0,core+link+pip
42,NZK3d_quinuclidina_C2OC_pirazina_amida,O=C(NCOCC1CC2CCN1CC2)c1cnccn1,C14H20N4O2,0.6779,6.0,ALTA,276.2,0.67,67.3,1,5,3.8,,4,colinergico|dopaminergico|glutamatergico|pde,0,core+link+nmda
43,NZK3a_pirrolidina_C4_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCCC1CCCN1,C16H27N5,0.677,5.5,ALTA,289.2,1.35,53.1,2,5,3.5,,3,dopaminergico|histaminergico|serotoninergico,0,core+link+pip
44,NZK3a_quinuclidinona_C2_benzisoxazolpip,O=C1CC2CCN1CC2CCc1ccc2c(N3CCNCC3)noc2c1,C20H26N4O2,0.6765,6.0,ALTA,354.2,2.04,61.6,1,5,6.5,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+pip
45,NZK3b_quinuclidinona_C3_fenoxipiperidina,O=C1CC2CCN1CC2CCCc1ccc(OC2CCNCC2)cc1,C21H30N2O2,0.6755,5.74,ALTA,342.2,3.01,41.6,1,3,5.9,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+h3sig
46,NZK3d_quinuclidinona_C3NH_aminoisoxazol,O=C1CC2CCN1CC2CCCNNc1ccno1,C13H20N4O2,0.6736,5.5,ALTA,264.2,1.24,70.4,2,5,5.4,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
47,NZK3a_azanorbornano_C2_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCN1CC2CCC1C2,C19H26N4O,0.6732,6.0,ALTA,326.2,2.26,44.5,1,5,5.1,,3,colinergico|glutamatergico|serotoninergico,0,core+link+pip
48,NZK3d_quinuclidina_C2OC_aminoisoxazol,c1cc(NCOCC2CC3CCN2CC3)on1,C12H19N3O2,0.6731,6.0,ALTA,237.1,1.54,50.5,1,5,3.8,,2,colinergico|glutamatergico,0,core+link+nmda
49,NZK3b_quinuclidina_C2OC_fenoxipiperidina,c1cc(OC2CCNCC2)ccc1COCC1CC2CCN1CC2,C20H30N2O2,0.6728,5.68,ALTA,330.2,2.82,33.7,1,4,4.1,,3,colinergico|dopaminergico|histaminergico,0,core+link+h3sig
50,NZK3a_piperidina_C3NH_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1NCCCC1CCCNC1,C19H29N5O,0.6727,5.0,ALTA,343.2,2.43,65.4,3,6,3.9,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+pip
51,NZK3a_quinuclidinona_C3_benzisoxazolpip,O=C1CC2CCN1CC2CCCc1ccc2c(N3CCNCC3)noc2c1,C21H28N4O2,0.672,5.94,ALTA,368.2,2.43,61.6,1,5,6.7,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+pip
52,NZK3b_quinuclidina_C2_fenoxipiperidina,c1cc(OC2CCNCC2)ccc1CCC1CC2CCN1CC2,C20H30N2O,0.6719,5.13,ALTA,314.2,3.23,24.5,1,3,4.1,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+h3sig
53,NZK3d_quinuclidina_C3NH_aminoisoxazol,c1cc(NNCCCC2CC3CCN2CC3)on1,C13H22N4O,0.6719,5.5,ALTA,250.2,1.86,53.3,2,5,3.8,,3,colinergico|dopaminergico|glutamatergico,0,core+link+nmda
54,NZK3b_quinuclidina_C2_benzimidazol,c1nc2cc(CCC3CC4CCN3CC4)ccc2[nH]1,C16H21N3,0.6718,5.56,ALTA,255.2,2.98,31.9,1,2,4.0,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
55,NZK3a_quinuclidinona_C2OC_benzisoxazolpip,O=C1CC2CCN1CC2COCc1ccc2c(N3CCNCC3)noc2c1,C20H26N4O3,0.6717,5.93,ALTA,370.2,1.62,70.8,1,6,6.7,,4,colinergico|glutamatergico|histaminergico|serotoninergico,0,core+link+pip
56,NZK3a_quinuclidinona_C2_piridilpiperazina,O=C1CC2CCN1CC2CCc1ccc(N2CCNCC2)nc1,C18H26N4O,0.671,6.0,ALTA,314.2,1.29,48.5,1,4,5.8,,3,colinergico|dopaminergico|serotoninergico,0,core+link+pip
57,NZK3a_azanorbornano_C3NH_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1NCCCN1CC2CCC1C2,C20H29N5O,0.6709,5.49,ALTA,355.2,2.52,56.6,2,6,5.3,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+pip
58,NZK3d_azanorbornano_C2_pirazina_amida,O=C(NCCN1CC2CCC1C2)c1cnccn1,C13H18N4O,0.6709,6.0,ALTA,246.1,0.69,58.1,1,4,4.3,,4,colinergico|dopaminergico|glutamatergico|pde,0,core+link+nmda
59,NZK3a_quinuclidinona_C3_piridilpiperazina,O=C1CC2CCN1CC2CCCc1ccc(N2CCNCC2)nc1,C19H28N4O,0.6706,6.0,ALTA,328.2,1.68,48.5,1,4,5.8,,3,colinergico|dopaminergico|serotoninergico,0,core+link+pip
60,NZK3b_quinuclidinona_C2_benzimidazol,O=C1CC2CCN1CC2CCc1ccc2[nH]cnc2c1,C16H19N3O,0.6703,6.0,ALTA,269.2,2.36,49.0,1,2,5.8,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
61,NZK3b_quinuclidinona_C2OC_benzimidazol,O=C1CC2CCN1CC2COCc1ccc2[nH]cnc2c1,C16H19N3O2,0.6698,6.0,ALTA,285.1,1.95,58.2,1,3,5.8,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
62,NZK3b_quinuclidina_C2OC_benzimidazol,c1nc2cc(COCC3CC4CCN3CC4)ccc2[nH]1,C16H21N3O,0.668,5.97,ALTA,271.2,2.56,41.1,1,3,4.1,,2,colinergico|dopaminergico,0,core+link+h3sig
63,NZK3a_quinuclidina_C3_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1CCCC1CC2CCN1CC2,C21H30N4O,0.6675,5.71,ALTA,354.2,3.04,44.5,1,5,4.8,,3,colinergico|glutamatergico|serotoninergico,0,core+link+pip
64,NZK3a_quinuclidina_C3NH_benzisoxazolpip,c1cc2c(N3CCNCC3)noc2cc1NCCCC1CC2CCN1CC2,C21H31N5O,0.6675,5.23,ALTA,369.3,2.91,56.6,2,6,4.9,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+pip
65,NZK3b_quinuclidinona_C3NH_benzimidazol,O=C1CC2CCN1CC2CCCNc1ccc2[nH]cnc2c1,C17H22N4O,0.6675,5.44,ALTA,298.2,2.62,61.0,2,3,5.9,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+h3sig
66,NZK3a_pirrolidina_C2_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCC1CCCN1,C14H23N5,0.6663,5.5,ALTA,261.2,0.57,53.1,2,5,3.5,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+pip
67,NZK3b_quinuclidinona_C3_benzimidazol,O=C1CC2CCN1CC2CCCc1ccc2[nH]cnc2c1,C17H21N3O,0.666,5.87,ALTA,283.2,2.75,49.0,1,2,5.8,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
68,NZK3c_piridilpiperazina_C2_pirrolopiridina,c1cc(CCc2cnc3cc[nH]c3c2)nc(N2CCNCC2)c1,C18H21N5,0.6658,5.5,ALTA,307.2,2.15,56.8,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
69,NZK3c_piridilpiperazina_C2OC_pirrolopiridina,c1cc(COCc2cnc3cc[nH]c3c2)nc(N2CCNCC2)c1,C18H21N5O,0.6657,5.5,ALTA,323.2,2.08,66.1,2,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
70,NZK3c_piridilpiperazina_C3_pirrolopiridina,c1cc(CCCc2cnc3cc[nH]c3c2)nc(N2CCNCC2)c1,C19H23N5,0.6652,5.48,ALTA,321.2,2.54,56.8,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
71,NZK3c_piridilpiperazina_C2_indazol,c1cc(CCc2ccc3[nH]ncc3c2)nc(N2CCNCC2)c1,C18H21N5,0.665,5.5,ALTA,307.2,2.15,56.8,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
72,NZK3a_quinuclidina_C2_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCC1CC2CCN1CC2,C18H28N4,0.6649,5.79,ALTA,300.2,1.91,31.4,1,4,4.1,,2,colinergico|serotoninergico,0,core+link+pip
73,NZK3c_piridilpiperazina_C2OC_indazol,c1cc(COCc2ccc3[nH]ncc3c2)nc(N2CCNCC2)c1,C18H21N5O,0.6649,5.5,ALTA,323.2,2.08,66.1,2,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
74,NZK3a_piperidina_C3NH_piridilpiperazina,c1cc(N2CCNCC2)ncc1NCCCC1CCCNC1,C17H29N5,0.6648,5.0,ALTA,303.2,1.68,52.2,3,5,3.5,,3,dopaminergico|histaminergico|serotoninergico,0,core+link+pip
75,NZK3c_benzisoxazolpip_C2_indazol,c1cc(CCc2ccc3[nH]ncc3c2)c2onc(N3CCNCC3)c2c1,C20H21N5O,0.6645,5.3,ALTA,347.2,2.9,70.0,2,5,3.9,,3,colinergico|dopaminergico|serotoninergico,0,pip+link+indol
76,NZK3a_quinuclidina_C3_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCCC1CC2CCN1CC2,C19H30N4,0.6644,5.79,ALTA,314.2,2.3,31.4,1,4,4.1,,2,colinergico|serotoninergico,0,core+link+pip
77,NZK3c_piridilpiperazina_C3_indazol,c1cc(CCCc2ccc3[nH]ncc3c2)nc(N2CCNCC2)c1,C19H23N5,0.6644,5.48,ALTA,321.2,2.54,56.8,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
78,NZK3c_pyrimidilpiperazina_C2_pirrolopiridina,c1cc(CCc2cnc3cc[nH]c3c2)nc(N2CCNCC2)n1,C17H20N6,0.6637,5.5,ALTA,308.2,1.55,69.7,2,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
79,NZK3c_pyrimidilpiperazina_C3_indazol,c1cc(CCCc2ccc3[nH]ncc3c2)nc(N2CCNCC2)n1,C18H22N6,0.6637,5.5,ALTA,322.2,1.94,69.7,2,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
80,NZK3c_pyrimidilpiperazina_C2_indazol,c1cc(CCc2ccc3[nH]ncc3c2)nc(N2CCNCC2)n1,C17H20N6,0.6636,5.5,ALTA,308.2,1.55,69.7,2,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
81,NZK3c_pyrimidilpiperazina_C4_indazol,c1cc(CCCCc2ccc3[nH]ncc3c2)nc(N2CCNCC2)n1,C19H24N6,0.6635,5.5,ALTA,336.2,2.33,69.7,2,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
82,NZK3c_fenilpiperazina_C2OC_pirrolopiridina,c1cc(COCc2cnc3cc[nH]c3c2)cc(N2CCNCC2)c1,C19H22N4O,0.6634,5.41,ALTA,322.2,2.69,53.2,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
83,NZK3c_fenilpiperazina_C2OC_indazol,c1cc(COCc2ccc3[nH]ncc3c2)cc(N2CCNCC2)c1,C19H22N4O,0.663,5.41,ALTA,322.2,2.69,53.2,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
84,NZK3c_pyrimidilpiperazina_C2_indol,c1cc(CCc2ccc3[nH]ccc3c2)nc(N2CCNCC2)n1,C18H21N5,0.6629,5.5,ALTA,307.2,2.15,56.8,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
85,NZK3c_pyrimidilpiperazina_C2OC_indol,c1cc(COCc2ccc3[nH]ccc3c2)nc(N2CCNCC2)n1,C18H21N5O,0.6628,5.5,ALTA,323.2,2.08,66.1,2,5,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
86,NZK3d_quinuclidina_C3NH_pirazina_amida,O=C(NNCCCC1CC2CCN1CC2)c1cnccn1,C15H23N5O,0.6627,5.5,ALTA,289.2,0.97,70.2,2,5,3.8,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
87,NZK3c_fenilpiperazina_C2_pirrolopiridina,c1cc(CCc2cnc3cc[nH]c3c2)cc(N2CCNCC2)c1,C19H22N4,0.6624,5.37,ALTA,306.2,2.76,44.0,2,3,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
88,NZK3c_pyrimidilpiperazina_C3_indol,c1cc(CCCc2ccc3[nH]ccc3c2)nc(N2CCNCC2)n1,C19H23N5,0.6624,5.48,ALTA,321.2,2.54,56.8,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
89,NZK3d_quinuclidinona_C2_pirazina_amida,O=C(NCCC1CN2CCC1CC2=O)c1cnccn1,C14H18N4O2,0.6624,6.0,ALTA,274.1,0.47,75.2,1,4,5.4,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
90,NZK3b_quinuclidinona_C4_fenoxipiperidina,O=C1CC2CCN1CC2CCCCc1ccc(OC2CCNCC2)cc1,C22H32N2O2,0.6623,5.35,ALTA,356.2,3.4,41.6,1,3,6.0,,4,colinergico|dopaminergico|histaminergico|serotoninergico,0,core+link+h3sig
91,NZK3d_quinuclidinona_C3_pirazina_amida,O=C(NCCCC1CN2CCC1CC2=O)c1cnccn1,C15H20N4O2,0.6621,6.0,ALTA,288.2,0.85,75.2,1,4,5.4,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
92,NZK3c_fenilpiperazina_C2_indazol,c1cc(CCc2ccc3[nH]ncc3c2)cc(N2CCNCC2)c1,C19H22N4,0.6619,5.37,ALTA,306.2,2.76,44.0,2,3,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
93,NZK3c_piridilpiperazina_C2OC_indol,c1cc(COCc2ccc3[nH]ccc3c2)nc(N2CCNCC2)c1,C19H22N4O,0.6619,5.41,ALTA,322.2,2.69,53.2,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
94,NZK3a_quinuclidina_C4_piridilpiperazina,c1cc(N2CCNCC2)ncc1CCCCC1CC2CCN1CC2,C20H32N4,0.6611,5.69,ALTA,328.3,2.69,31.4,1,4,4.1,,2,colinergico|serotoninergico,0,core+link+pip
95,NZK3d_3OH_quinuclidina_C4_pirazina_amida,O=C(NCCCCC1CN2CCC1CC2O)c1cnccn1,C16H24N4O2,0.661,5.5,ALTA,304.2,1.04,78.3,2,5,6.2,,4,colinergico|dopaminergico|glutamatergico|serotoninergico,0,core+link+nmda
96,NZK3a_piperidina_C3_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCC1CCCNC1,C16H27N5,0.6609,5.5,ALTA,289.2,1.21,53.1,2,5,3.5,,2,histaminergico|serotoninergico,0,core+link+pip
97,NZK3c_piridilpiperazina_C2_indol,c1cc(CCc2ccc3[nH]ccc3c2)nc(N2CCNCC2)c1,C19H22N4,0.6608,5.37,ALTA,306.2,2.76,44.0,2,3,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
98,NZK3a_piperidina_C4_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCCC1CCCNC1,C17H29N5,0.6606,5.5,ALTA,303.2,1.6,53.1,2,5,3.5,,2,histaminergico|serotoninergico,0,core+link+pip
99,NZK3d_quinuclidina_C2OC_glicinamida,NC(=O)CNCOCC1CC2CCN1CC2,C11H21N3O2,0.6598,5.5,ALTA,227.2,-0.48,67.6,2,4,3.7,,4,dopaminergico|multiplo|noradrenergico|serotoninergico,0,core+link+nmda
100,NZK3c_piridilpiperazina_C4_pirrolopiridina,c1cc(CCCCc2cnc3cc[nH]c3c2)nc(N2CCNCC2)c1,C20H25N5,0.6591,5.28,ALTA,335.2,2.93,56.8,2,4,3.2,,2,dopaminergico|serotoninergico,0,pip+link+indol
101,NZK3b_quinuclidina_C3_benzimidazol,c1nc2cc(CCCC3CC4CCN3CC4)ccc2[nH]1,C17H23N3,0.6589,5.18,ALTA,269.2,3.37,31.9,1,2,4.1,,3,colinergico|dopaminergico|serotoninergico,0,core+link+h3sig
