Rank,Nome,SMILES,Score_Final,CNS_MPO,BBB_Prob,BBB_Cat,MW,LogP,TPSA,HBD,HBA,RotBonds,Multi_Target_Score,Lipinski_OK,N_Alertas,Estrategia,Fragmento_A,Linker,Fragmento_C
11,NZK1_quinuclidinona_etil_carbonil_naftil_piperazina,O=C(CC1CN2CCC1CC2=O)c1ccc2c(N3CCNCC3)cccc2c1,0.7423,5.78,1.0,ALTA,377.2,2.69,52.7,1,4,4,0.1717,True,0,A-linker-C,quinuclidinona,etil_carbonil,naftil_piperazina
12,NZK1_quinuclidinona_propileno_benzisoxazol_pip,O=C1CC2CCN1CC2CCCc1ccc2onc(N3CCNCC3)c2c1,0.7412,5.94,1.0,ALTA,368.2,2.43,61.6,1,5,5,0.1456,True,0,A-linker-C,quinuclidinona,propileno,benzisoxazol_pip
13,NZK1_quinuclidina_etileno_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1CCC1CN2CCC1CC2,0.7408,5.99,1.0,ALTA,340.2,2.51,44.5,1,5,4,0.1375,True,0,A-linker-C,quinuclidina,etileno,benzisoxazol_pip
14,NZK1_azabiciclo_222_etileno_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1CCC1CN2CCC1CC2,0.7408,5.99,1.0,ALTA,340.2,2.51,44.5,1,5,4,0.1375,True,0,A-linker-C,azabiciclo_222,etileno,benzisoxazol_pip
15,NZK1_quinuclidina_etil_eter_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1COCC1CN2CCC1CC2,0.7406,6.0,1.0,ALTA,356.2,2.1,53.8,1,6,5,0.1352,True,0,A-linker-C,quinuclidina,etil_eter,benzisoxazol_pip
16,NZK1_azabiciclo_222_etil_eter_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1COCC1CN2CCC1CC2,0.7406,6.0,1.0,ALTA,356.2,2.1,53.8,1,6,5,0.1352,True,0,A-linker-C,azabiciclo_222,etil_eter,benzisoxazol_pip
17,NZK1_quinuclidinona_etil_eter_naftil_piperazina,O=C1CC2CCN1CC2COCc1ccc2c(N3CCNCC3)cccc2c1,0.7404,5.8,1.0,ALTA,379.2,2.63,44.8,1,4,5,0.1626,True,0,A-linker-C,quinuclidinona,etil_eter,naftil_piperazina
18,NZK1_quinuclidinona_etil_eter_benzisoxazol_pip,O=C1CC2CCN1CC2COCc1ccc2onc(N3CCNCC3)c2c1,0.7403,5.93,1.0,ALTA,370.2,1.62,70.8,1,6,5,0.1442,True,0,A-linker-C,quinuclidinona,etil_eter,benzisoxazol_pip
19,NZK1_azanorbornano_etil_carbonil_benzisoxazol_pip,O=C(CN1CC2CCC1C2)c1ccc2onc(N3CCNCC3)c2c1,0.7403,6.0,1.0,ALTA,340.2,1.9,61.6,1,6,4,0.1342,True,0,A-linker-C,azanorbornano,etil_carbonil,benzisoxazol_pip
20,NZK1_quinuclidinona_propileno_pyrimidil_piperazina,O=C1CC2CCN1CC2CCCc1cnc(N2CCNCC2)nc1,0.7398,6.0,1.0,ALTA,329.2,1.08,61.4,1,5,5,0.1328,True,0,A-linker-C,quinuclidinona,propileno,pyrimidil_piperazina
21,NZK1_quinuclidinona_butileno_pyrimidil_piperazina,O=C1CC2CCN1CC2CCCCc1cnc(N2CCNCC2)nc1,0.7393,6.0,1.0,ALTA,343.2,1.47,61.4,1,5,6,0.1309,True,0,A-linker-C,quinuclidinona,butileno,pyrimidil_piperazina
22,NZK1_quinuclidina_etileno_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1CCC1CN2CCC1CC2,0.7364,6.0,1.0,ALTA,301.2,1.16,44.3,1,5,4,0.1214,True,0,A-linker-C,quinuclidina,etileno,pyrimidil_piperazina
23,NZK1_azabiciclo_222_etileno_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1CCC1CN2CCC1CC2,0.7364,6.0,1.0,ALTA,301.2,1.16,44.3,1,5,4,0.1214,True,0,A-linker-C,azabiciclo_222,etileno,pyrimidil_piperazina
24,NZK1_quinuclidina_propileno_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1CCCC1CN2CCC1CC2,0.7362,6.0,1.0,ALTA,315.2,1.55,44.3,1,5,5,0.1208,True,0,A-linker-C,quinuclidina,propileno,pyrimidil_piperazina
25,NZK1_azabiciclo_222_propileno_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1CCCC1CN2CCC1CC2,0.7362,6.0,1.0,ALTA,315.2,1.55,44.3,1,5,5,0.1208,True,0,A-linker-C,azabiciclo_222,propileno,pyrimidil_piperazina
26,NZK1_quinuclidina_butileno_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1CCCCC1CN2CCC1CC2,0.7357,6.0,1.0,ALTA,329.3,1.94,44.3,1,5,6,0.119,True,0,A-linker-C,quinuclidina,butileno,pyrimidil_piperazina
27,NZK1_azabiciclo_222_butileno_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1CCCCC1CN2CCC1CC2,0.7357,6.0,1.0,ALTA,329.3,1.94,44.3,1,5,6,0.119,True,0,A-linker-C,azabiciclo_222,butileno,pyrimidil_piperazina
28,NZK1_azanorbornano_etileno_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1CCN1CC2CCC1C2,0.7351,6.0,1.0,ALTA,326.2,2.26,44.5,1,5,4,0.1169,True,0,A-linker-C,azanorbornano,etileno,benzisoxazol_pip
29,NZK1_azanorbornano_etil_carbonil_arilpiperazina_base,O=C(CN1CC2CCC1C2)c1ccc(N2CCNCC2)cc1,0.7339,5.89,1.0,ALTA,299.2,1.76,35.6,1,4,4,0.1282,True,0,A-linker-C,azanorbornano,etil_carbonil,arilpiperazina_base
30,NZK1_azanorbornano_etil_eter_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1COCN1CC2CCC1C2,0.7339,6.0,1.0,ALTA,342.2,2.2,53.8,1,6,5,0.1129,True,0,A-linker-C,azanorbornano,etil_eter,benzisoxazol_pip
31,NZK1_quinuclidina_propileno_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1CCCC1CN2CCC1CC2,0.7326,5.8,1.0,ALTA,354.2,2.9,44.5,1,5,5,0.1363,True,0,A-linker-C,quinuclidina,propileno,benzisoxazol_pip
32,NZK1_azabiciclo_222_propileno_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1CCCC1CN2CCC1CC2,0.7326,5.8,1.0,ALTA,354.2,2.9,44.5,1,5,5,0.1363,True,0,A-linker-C,azabiciclo_222,propileno,benzisoxazol_pip
33,NZK1_azanorbornano_etil_carbonil_naftil_piperazina,O=C(CN1CC2CCC1C2)c1ccc2c(N3CCNCC3)cccc2c1,0.7325,5.68,1.0,ALTA,349.2,2.92,35.6,1,4,4,0.1527,True,0,A-linker-C,azanorbornano,etil_carbonil,naftil_piperazina
34,NZK1_quinuclidinona_etileno_naftil_piperazina,O=C1CC2CCN1CC2CCc1ccc2c(N3CCNCC3)cccc2c1,0.7318,5.57,1.0,ALTA,363.2,3.05,35.6,1,3,4,0.1657,True,0,A-linker-C,quinuclidinona,etileno,naftil_piperazina
35,NZK1_azanorbornano_propileno_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1CCCN1CC2CCC1C2,0.7316,5.92,1.0,ALTA,340.2,2.65,44.5,1,5,5,0.1165,True,0,A-linker-C,azanorbornano,propileno,benzisoxazol_pip
36,NZK1_quinuclidina_etil_carbonil_naftil_piperazina,O=C(CC1CN2CCC1CC2)c1ccc2c(N3CCNCC3)cccc2c1,0.731,5.45,1.0,ALTA,363.2,3.16,35.6,1,4,4,0.1797,True,0,A-linker-C,quinuclidina,etil_carbonil,naftil_piperazina
37,NZK1_azabiciclo_222_etil_carbonil_naftil_piperazina,O=C(CC1CN2CCC1CC2)c1ccc2c(N3CCNCC3)cccc2c1,0.731,5.45,1.0,ALTA,363.2,3.16,35.6,1,4,4,0.1797,True,0,A-linker-C,azabiciclo_222,etil_carbonil,naftil_piperazina
38,NZK1_azanorbornano_butileno_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1CCCCN1CC2CCC1C2,0.7301,6.0,1.0,ALTA,315.2,1.69,44.3,1,5,6,0.1002,True,0,A-linker-C,azanorbornano,butileno,pyrimidil_piperazina
39,NZK1_quinuclidinona_butileno_benzisoxazol_pip,O=C1CC2CCN1CC2CCCCc1ccc2onc(N3CCNCC3)c2c1,0.7298,5.68,1.0,ALTA,382.2,2.82,61.6,1,5,6,0.1437,True,0,A-linker-C,quinuclidinona,butileno,benzisoxazol_pip
40,NZK1_azanorbornano_propileno_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1CCCN1CC2CCC1C2,0.7296,6.0,1.0,ALTA,301.2,1.3,44.3,1,5,5,0.0986,True,0,A-linker-C,azanorbornano,propileno,pyrimidil_piperazina
41,NZK1_quinuclidina_etil_amida_benzisoxazol_pip,O=C(CC1CN2CCC1CC2)Nc1ccc2onc(N3CCNCC3)c2c1,0.7249,5.43,1.0,ALTA,369.2,1.91,73.6,2,6,4,0.1622,True,0,A-linker-C,quinuclidina,etil_amida,benzisoxazol_pip
42,NZK1_azabiciclo_222_etil_amida_benzisoxazol_pip,O=C(CC1CN2CCC1CC2)Nc1ccc2onc(N3CCNCC3)c2c1,0.7249,5.43,1.0,ALTA,369.2,1.91,73.6,2,6,4,0.1622,True,0,A-linker-C,azabiciclo_222,etil_amida,benzisoxazol_pip
43,NZK1_azanorbornano_butileno_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1CCCCN1CC2CCC1C2,0.7232,5.71,1.0,ALTA,354.2,3.04,44.5,1,5,6,0.1176,True,0,A-linker-C,azanorbornano,butileno,benzisoxazol_pip
44,NZK1_azanorbornano_etil_amida_naftil_piperazina,O=C(CN1CC2CCC1C2)Nc1ccc2c(N3CCNCC3)cccc2c1,0.7226,5.38,1.0,ALTA,364.2,2.67,47.6,2,4,4,0.1616,True,0,A-linker-C,azanorbornano,etil_amida,naftil_piperazina
45,NZK1_quinuclidinona_etil_amida_naftil_piperazina,O=C(CC1CN2CCC1CC2=O)Nc1ccc2c(N3CCNCC3)cccc2c1,0.7224,5.27,1.0,ALTA,392.2,2.45,64.7,2,4,4,0.1759,True,0,A-linker-C,quinuclidinona,etil_amida,naftil_piperazina
46,NZK1_azanorbornano_etil_amida_benzisoxazol_pip,O=C(CN1CC2CCC1C2)Nc1ccc2onc(N3CCNCC3)c2c1,0.7222,5.5,1.0,ALTA,355.2,1.66,73.6,2,6,4,0.1435,True,0,A-linker-C,azanorbornano,etil_amida,benzisoxazol_pip
47,NZK1_3OH_quinuclidina_etil_carbonil_naftil_piperazina,O=C(CC1CN2CCC1CC2O)c1ccc2c(N3CCNCC3)cccc2c1,0.7205,5.36,1.0,ALTA,379.2,2.48,55.8,2,5,4,0.1571,True,0,A-linker-C,3OH_quinuclidina,etil_carbonil,naftil_piperazina
48,NZK1_quinuclidina_etil_amida_naftil_piperazina,O=C(CC1CN2CCC1CC2)Nc1ccc2c(N3CCNCC3)cccc2c1,0.7201,5.16,1.0,ALTA,378.2,2.92,47.6,2,4,4,0.1838,True,0,A-linker-C,quinuclidina,etil_amida,naftil_piperazina
49,NZK1_azabiciclo_222_etil_amida_naftil_piperazina,O=C(CC1CN2CCC1CC2)Nc1ccc2c(N3CCNCC3)cccc2c1,0.7201,5.16,1.0,ALTA,378.2,2.92,47.6,2,4,4,0.1838,True,0,A-linker-C,azabiciclo_222,etil_amida,naftil_piperazina
50,NZK1_3OH_quinuclidina_etil_carbonil_arilpiperazina_base,O=C(CC1CN2CCC1CC2O)c1ccc(N2CCNCC2)cc1,0.7199,5.5,1.0,ALTA,329.2,1.33,55.8,2,5,4,0.1358,True,0,A-linker-C,3OH_quinuclidina,etil_carbonil,arilpiperazina_base
51,NZK1_quinuclidina_etil_eter_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(COCC3CN4CCC3CC4)cc2c1,0.7177,5.3,1.0,ALTA,365.2,3.11,27.7,1,4,5,0.1561,True,0,A-linker-C,quinuclidina,etil_eter,naftil_piperazina
52,NZK1_azabiciclo_222_etil_eter_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(COCC3CN4CCC3CC4)cc2c1,0.7177,5.3,1.0,ALTA,365.2,3.11,27.7,1,4,5,0.1561,True,0,A-linker-C,azabiciclo_222,etil_eter,naftil_piperazina
53,NZK1_3OH_quinuclidina_etileno_benzisoxazol_pip,OC1CC2CCN1CC2CCc1ccc2onc(N3CCNCC3)c2c1,0.7164,5.5,1.0,ALTA,356.2,1.83,64.8,2,6,4,0.1241,True,0,A-linker-C,3OH_quinuclidina,etileno,benzisoxazol_pip
54,NZK1_tropano_etil_carbonil_arilpiperazina_base,CN1C2CCC1C(CC(=O)c1ccc(N3CCNCC3)cc1)C(O)C2,0.7159,5.5,1.0,ALTA,343.2,1.51,55.8,2,5,4,0.1223,True,0,A-linker-C,tropano,etil_carbonil,arilpiperazina_base
55,NZK1_quinuclidina_butileno_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1CCCCC1CN2CCC1CC2,0.7154,5.4,1.0,ALTA,368.3,3.29,44.5,1,5,6,0.1345,True,0,A-linker-C,quinuclidina,butileno,benzisoxazol_pip
56,NZK1_3OH_quinuclidina_etil_eter_naftil_piperazina,OC1CC2CCN1CC2COCc1ccc2c(N3CCNCC3)cccc2c1,0.7154,5.35,1.0,ALTA,381.2,2.43,48.0,2,5,5,0.1416,True,0,A-linker-C,3OH_quinuclidina,etil_eter,naftil_piperazina
57,NZK1_azabiciclo_222_butileno_benzisoxazol_pip,c1cc2onc(N3CCNCC3)c2cc1CCCCC1CN2CCC1CC2,0.7154,5.4,1.0,ALTA,368.3,3.29,44.5,1,5,6,0.1345,True,0,A-linker-C,azabiciclo_222,butileno,benzisoxazol_pip
58,NZK1_quinuclidina_etil_carbonil_indol_piperazina,O=C(CC1CN2CCC1CC2)c1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.7141,5.34,1.0,ALTA,380.3,2.53,51.4,2,4,6,0.1387,True,0,A-linker-C,quinuclidina,etil_carbonil,indol_piperazina
59,NZK1_azabiciclo_222_etil_carbonil_indol_piperazina,O=C(CC1CN2CCC1CC2)c1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.7141,5.34,1.0,ALTA,380.3,2.53,51.4,2,4,6,0.1387,True,0,A-linker-C,azabiciclo_222,etil_carbonil,indol_piperazina
60,NZK1_quinuclidinona_etileno_indol_piperazina,O=C1CC2CCN1CC2CCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.7139,5.36,1.0,ALTA,380.3,2.42,51.4,2,3,6,0.1352,True,0,A-linker-C,quinuclidinona,etileno,indol_piperazina
61,NZK1_3OH_quinuclidina_propileno_benzisoxazol_pip,OC1CC2CCN1CC2CCCc1ccc2onc(N3CCNCC3)c2c1,0.7133,5.43,1.0,ALTA,370.2,2.22,64.8,2,6,5,0.1234,True,0,A-linker-C,3OH_quinuclidina,propileno,benzisoxazol_pip
62,NZK1_3OH_quinuclidina_etileno_naftil_piperazina,OC1CC2CCN1CC2CCc1ccc2c(N3CCNCC3)cccc2c1,0.7122,5.26,1.0,ALTA,365.2,2.84,38.7,2,4,4,0.1436,True,0,A-linker-C,3OH_quinuclidina,etileno,naftil_piperazina
63,NZK1_3OH_quinuclidina_etil_eter_benzisoxazol_pip,OC1CC2CCN1CC2COCc1ccc2onc(N3CCNCC3)c2c1,0.7122,5.41,1.0,ALTA,372.2,1.41,74.0,2,7,5,0.1226,True,0,A-linker-C,3OH_quinuclidina,etil_eter,benzisoxazol_pip
64,NZK1_azanorbornano_etil_carbonil_indol_piperazina,O=C(CN1CC2CCC1C2)c1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.7122,5.46,1.0,ALTA,366.2,2.28,51.4,2,4,6,0.1156,True,0,A-linker-C,azanorbornano,etil_carbonil,indol_piperazina
65,NZK1_3OH_quinuclidina_butileno_pyrimidil_piperazina,OC1CC2CCN1CC2CCCCc1cnc(N2CCNCC2)nc1,0.7112,5.5,1.0,ALTA,345.3,1.26,64.5,2,6,6,0.1068,True,0,A-linker-C,3OH_quinuclidina,butileno,pyrimidil_piperazina
66,NZK1_quinuclidinona_propileno_naftil_piperazina,O=C1CC2CCN1CC2CCCc1ccc2c(N3CCNCC3)cccc2c1,0.711,5.08,1.0,ALTA,377.2,3.44,35.6,1,3,5,0.1643,True,0,A-linker-C,quinuclidinona,propileno,naftil_piperazina
67,NZK1_quinuclidinona_etil_carbonil_indol_piperazina,O=C(CC1CN2CCC1CC2=O)c1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.711,5.26,1.0,ALTA,394.2,2.06,68.4,2,4,6,0.1393,True,0,A-linker-C,quinuclidinona,etil_carbonil,indol_piperazina
68,NZK1_tropano_etil_carbonil_naftil_piperazina,CN1C2CCC1C(CC(=O)c1ccc3c(N4CCNCC4)cccc3c1)C(O)C2,0.7102,5.18,1.0,ALTA,393.2,2.67,55.8,2,5,4,0.1479,True,0,A-linker-C,tropano,etil_carbonil,naftil_piperazina
69,NZK1_tropano_etileno_benzisoxazol_pip,CN1C2CCC1C(CCc1ccc3onc(N4CCNCC4)c3c1)C(O)C2,0.71,5.43,1.0,ALTA,370.2,2.01,64.8,2,6,4,0.1124,True,0,A-linker-C,tropano,etileno,benzisoxazol_pip
70,NZK1_tropano_propileno_pyrimidil_piperazina,CN1C2CCC1C(CCCc1cnc(N3CCNCC3)nc1)C(O)C2,0.7082,5.5,1.0,ALTA,345.3,1.05,64.5,2,6,5,0.0969,True,0,A-linker-C,tropano,propileno,pyrimidil_piperazina
71,NZK1_quinuclidinona_etil_eter_indol_piperazina,O=C1CC2CCN1CC2COCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.7079,5.24,1.0,ALTA,396.3,2.0,60.6,2,4,7,0.1318,True,0,A-linker-C,quinuclidinona,etil_eter,indol_piperazina
72,NZK1_tropano_butileno_pyrimidil_piperazina,CN1C2CCC1C(CCCCc1cnc(N3CCNCC3)nc1)C(O)C2,0.7079,5.5,1.0,ALTA,359.3,1.44,64.5,2,6,6,0.0957,True,0,A-linker-C,tropano,butileno,pyrimidil_piperazina
73,NZK1_quinuclidina_etil_eter_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1COCC1CN2CCC1CC2,0.7078,5.34,1.0,ALTA,382.3,2.47,43.5,2,4,7,0.1176,True,0,A-linker-C,quinuclidina,etil_eter,indol_piperazina
74,NZK1_azabiciclo_222_etil_eter_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1COCC1CN2CCC1CC2,0.7078,5.34,1.0,ALTA,382.3,2.47,43.5,2,4,7,0.1176,True,0,A-linker-C,azabiciclo_222,etil_eter,indol_piperazina
75,NZK1_azanorbornano_etil_eter_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(COCN3CC4CCC3C4)cc2c1,0.7076,5.24,1.0,ALTA,351.2,3.21,27.7,1,4,5,0.1308,True,0,A-linker-C,azanorbornano,etil_eter,naftil_piperazina
76,NZK1_tropano_etil_eter_naftil_piperazina,CN1C2CCC1C(COCc1ccc3c(N4CCNCC4)cccc3c1)C(O)C2,0.7064,5.19,1.0,ALTA,395.3,2.61,48.0,2,5,5,0.1337,True,0,A-linker-C,tropano,etil_eter,naftil_piperazina
77,NZK1_3OH_quinuclidina_butileno_benzisoxazol_pip,OC1CC2CCN1CC2CCCCc1ccc2onc(N3CCNCC3)c2c1,0.7062,5.27,1.0,ALTA,384.3,2.61,64.8,2,6,6,0.1219,True,0,A-linker-C,3OH_quinuclidina,butileno,benzisoxazol_pip
78,NZK1_tropano_propileno_benzisoxazol_pip,CN1C2CCC1C(CCCc1ccc3onc(N4CCNCC4)c3c1)C(O)C2,0.7057,5.33,1.0,ALTA,384.3,2.4,64.8,2,6,5,0.1121,True,0,A-linker-C,tropano,propileno,benzisoxazol_pip
79,NZK1_tropano_etil_eter_benzisoxazol_pip,CN1C2CCC1C(COCc1ccc3onc(N4CCNCC4)c3c1)C(O)C2,0.7054,5.31,1.0,ALTA,386.2,1.6,74.0,2,7,5,0.1138,True,0,A-linker-C,tropano,etil_eter,benzisoxazol_pip
80,NZK1_azanorbornano_etil_eter_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1COCN1CC2CCC1C2,0.7037,5.4,1.0,ALTA,368.3,2.57,43.5,2,4,7,0.0958,True,0,A-linker-C,azanorbornano,etil_eter,indol_piperazina
81,NZK1_quinuclidina_etil_carbonil_pyrimidil_piperazina,O=C(CC1CN2CCC1CC2)c1cnc(N2CCNCC2)nc1,0.7033,6.0,0.8,ALTA,315.2,0.8,61.4,1,6,4,0.1443,True,0,A-linker-C,quinuclidina,etil_carbonil,pyrimidil_piperazina
82,NZK1_azabiciclo_222_etil_carbonil_pyrimidil_piperazina,O=C(CC1CN2CCC1CC2)c1cnc(N2CCNCC2)nc1,0.7033,6.0,0.8,ALTA,315.2,0.8,61.4,1,6,4,0.1443,True,0,A-linker-C,azabiciclo_222,etil_carbonil,pyrimidil_piperazina
83,NZK1_quinuclidinona_propileno_indol_piperazina,O=C1CC2CCN1CC2CCCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.7029,5.1,1.0,ALTA,394.3,2.81,51.4,2,3,7,0.1346,True,0,A-linker-C,quinuclidinona,propileno,indol_piperazina
84,NZK1_quinuclidinona_etil_carbonil_pyrimidil_piperazina,O=C(CC1CN2CCC1CC2=O)c1cnc(N2CCNCC2)nc1,0.7021,6.0,0.8,ALTA,329.2,0.33,78.4,1,6,4,0.1402,True,0,A-linker-C,quinuclidinona,etil_carbonil,pyrimidil_piperazina
85,NZK1_tropano_etileno_naftil_piperazina,CN1C2CCC1C(CCc1ccc3c(N4CCNCC4)cccc3c1)C(O)C2,0.7007,5.06,1.0,ALTA,379.3,3.03,38.7,2,4,4,0.1328,True,0,A-linker-C,tropano,etileno,naftil_piperazina
86,NZK1_quinuclidinona_etil_eter_pyrimidil_piperazina,O=C1CC2CCN1CC2COCc1cnc(N2CCNCC2)nc1,0.7003,6.0,0.8,ALTA,331.2,0.27,70.6,1,6,5,0.1344,True,0,A-linker-C,quinuclidinona,etil_eter,pyrimidil_piperazina
87,NZK1_quinuclidinona_etileno_pyrimidil_piperazina,O=C1CC2CCN1CC2CCc1cnc(N2CCNCC2)nc1,0.7001,6.0,0.8,ALTA,315.2,0.69,61.4,1,5,4,0.1335,True,0,A-linker-C,quinuclidinona,etileno,pyrimidil_piperazina
88,NZK1_azanorbornano_etileno_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCN1CC2CCC1C2,0.7,5.29,1.0,ALTA,352.3,2.64,34.3,2,3,6,0.0987,True,0,A-linker-C,azanorbornano,etileno,indol_piperazina
89,NZK1_quinuclidina_etileno_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCC1CN2CCC1CC2,0.6995,5.12,1.0,ALTA,366.3,2.89,34.3,2,3,6,0.1205,True,0,A-linker-C,quinuclidina,etileno,indol_piperazina
90,NZK1_azabiciclo_222_etileno_indol_piperazina,c1cc2c(CCN3CCNCC3)c[nH]c2cc1CCC1CN2CCC1CC2,0.6995,5.12,1.0,ALTA,366.3,2.89,34.3,2,3,6,0.1205,True,0,A-linker-C,azabiciclo_222,etileno,indol_piperazina
91,NZK1_3OH_quinuclidina_etil_amida_naftil_piperazina,O=C(CC1CN2CCC1CC2O)Nc1ccc2c(N3CCNCC3)cccc2c1,0.6969,4.76,1.0,ALTA,394.2,2.24,67.8,3,5,4,0.1618,True,0,A-linker-C,3OH_quinuclidina,etil_amida,naftil_piperazina
92,NZK1_quinuclidina_etil_eter_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1COCC1CN2CCC1CC2,0.6967,6.0,0.8,ALTA,317.2,0.74,53.5,1,6,5,0.1225,True,0,A-linker-C,quinuclidina,etil_eter,pyrimidil_piperazina
93,NZK1_azabiciclo_222_etil_eter_pyrimidil_piperazina,c1nc(N2CCNCC2)ncc1COCC1CN2CCC1CC2,0.6967,6.0,0.8,ALTA,317.2,0.74,53.5,1,6,5,0.1225,True,0,A-linker-C,azabiciclo_222,etil_eter,pyrimidil_piperazina
94,NZK1_azanorbornano_etileno_naftil_piperazina,c1cc(N2CCNCC2)c2ccc(CCN3CC4CCC3C4)cc2c1,0.6965,4.94,1.0,ALTA,335.2,3.28,18.5,1,3,4,0.1355,True,0,A-linker-C,azanorbornano,etileno,naftil_piperazina
95,NZK1_azanorbornano_etil_carbonil_pyrimidil_piperazina,O=C(CN1CC2CCC1C2)c1cnc(N2CCNCC2)nc1,0.6953,6.0,0.8,ALTA,301.2,0.55,61.4,1,6,4,0.1176,True,0,A-linker-C,azanorbornano,etil_carbonil,pyrimidil_piperazina
