Rank,Nome,SMILES,Score_Final,CNS_MPO,BBB_Cat,MW,LogP,TPSA,HBD,HBA,Multi_Target,N_Sistemas,Sistemas,Max_Anti_Sim,N_Alertas,Estrategia
30,NZK2a_quinuclidinona_etileno_benzisoxazolpip,O=C1CC2CCN1CC2CCc1ccc2onc(N3CCNCC3)c2c1,0.6506,6.0,ALTA,354.2,2.04,61.6,1,5,0.1358,1,colinergico,0.136,0,core_piperazina
31,NZK2b_quinuclidina_etil_carbonil_piperidin_imidazol,O=C(CC1CN2CCC1CC2)c1cn(C2CCNCC2)cn1,0.6494,6.0,ALTA,302.2,1.72,50.2,1,5,0.131,1,colinergico,0.13,0,core_imidazol
32,NZK2a_quinuclidinona_propileno_pyrimidilpiperazina,O=C1CC2CCN1CC2CCCc1cnc(N2CCNCC2)nc1,0.6482,6.0,ALTA,329.2,1.08,61.4,1,5,0.1263,1,serotoninergico,0.136,0,core_piperazina
33,NZK2a_quinuclidinona_propileno_benzisoxazolpip,O=C1CC2CCN1CC2CCCc1ccc2onc(N3CCNCC3)c2c1,0.6481,5.94,ALTA,368.2,2.43,61.6,1,5,0.1338,1,colinergico,0.159,0,core_piperazina
34,NZK2a_quinuclidina_etileno_benzisoxazolpip,c1cc2onc(N3CCNCC3)c2cc1CCC1CN2CCC1CC2,0.6479,5.99,ALTA,340.2,2.51,44.5,1,5,0.1261,1,colinergico,0.116,0,core_piperazina
35,NZK2a_quinuclidinona_butileno_pyrimidilpiperazina,O=C1CC2CCN1CC2CCCCc1cnc(N2CCNCC2)nc1,0.6478,6.0,ALTA,343.2,1.47,61.4,1,5,0.1246,1,serotoninergico,0.148,0,core_piperazina
36,NZK2a_quinuclidinona_etil_eter_benzisoxazolpip,O=C1CC2CCN1CC2COCc1ccc2onc(N3CCNCC3)c2c1,0.6478,5.93,ALTA,370.2,1.62,70.8,1,6,0.1337,1,colinergico,0.12,0,core_piperazina
37,NZK2a_quinuclidina_etil_eter_benzisoxazolpip,c1cc2onc(N3CCNCC3)c2cc1COCC1CN2CCC1CC2,0.6477,6.0,ALTA,356.2,2.1,53.8,1,6,0.1242,1,colinergico,0.103,0,core_piperazina
38,NZK2b_quinuclidinona_etileno_oxazol,O=C1CC2CCN1CC2CCc1cocn1,0.6477,6.0,ALTA,220.1,1.48,46.3,0,3,0.1241,1,colinergico,0.132,0,core_imidazol
39,NZK2b_quinuclidina_etil_eter_benzimidazol,c1nc2cc(COCC3CN4CCC3CC4)ccc2[nH]1,0.6475,6.0,ALTA,271.2,2.42,41.1,1,3,0.1234,1,colinergico,0.1,0,core_imidazol
40,NZK2a_quinuclidina_etileno_sulfonamidapip,O=S(=O)(NCCC1CN2CCC1CC2)c1ccc(N2CCNCC2)cc1,0.6471,5.37,ALTA,378.2,1.11,64.7,2,5,0.1389,2,colinergico|serotoninergico,0.1,0,core_piperazina
41,NZK2c_fenilpiperazina_etil_eter_pirrolo_piridina,c1ccc(N2CCNCC2COCc2cnc3[nH]ccc3c2)cc1,0.647,5.47,ALTA,322.2,2.56,53.2,2,4,0.1252,2,dopaminergico|serotoninergico,0.127,0,pip_heterociclo
42,NZK2a_quinuclidina_etil_carbonil_indolpiperazina,O=C(CC1CN2CCC1CC2)c1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6463,5.34,ALTA,380.3,2.53,51.4,2,4,0.1397,2,colinergico|serotoninergico,0.198,0,core_piperazina
43,NZK2b_quinuclidinona_propileno_tiazol_amino,O=C1CC2CCN1CC2CCCNc1nccs1,0.6462,6.0,ALTA,265.1,2.2,45.2,1,4,0.1182,1,serotoninergico,0.108,0,core_imidazol
44,NZK2c_fenilpiperazina_etil_eter_indazol,c1ccc(N2CCNCC2COCc2ccc3[nH]ncc3c2)cc1,0.6457,5.47,ALTA,322.2,2.56,53.2,2,4,0.1201,2,dopaminergico|serotoninergico,0.128,0,pip_heterociclo
45,NZK2b_quinuclidinona_etileno_imidazol_N_metil,O=C1CC2CCN1CC2CCCn1ccnc1,0.6448,5.95,ALTA,233.2,1.53,38.1,0,3,0.1193,1,serotoninergico,0.147,0,core_imidazol
46,NZK2b_quinuclidinona_propileno_imidazol_N_metil,O=C1CC2CCN1CC2CCCCn1ccnc1,0.6447,5.95,ALTA,247.2,1.92,38.1,0,3,0.1187,1,serotoninergico,0.145,0,core_imidazol
47,NZK2b_quinuclidinona_butileno_imidazol_N_metil,O=C1CC2CCN1CC2CCCCCn1ccnc1,0.6443,5.95,ALTA,261.2,2.31,38.1,0,3,0.117,1,serotoninergico,0.143,0,core_imidazol
48,NZK2b_quinuclidinona_butileno_tiazol_amino,O=C1CC2CCN1CC2CCCCNc1nccs1,0.6442,5.95,ALTA,279.1,2.59,45.2,1,4,0.1166,1,serotoninergico,0.107,0,core_imidazol
49,NZK2b_quinuclidina_etileno_aminotiazol_pip,c1sc(NCCC2CN3CCC2CC3)nc1N1CCNCC1,0.644,5.5,ALTA,321.2,1.7,43.4,2,6,0.1095,2,colinergico|serotoninergico,0.074,0,core_imidazol
50,NZK2b_quinuclidina_etil_carbonil_imidazol_N_metil,O=C(CC1CN2CCC1CC2)Cn1ccnc1,0.644,5.95,ALTA,233.2,1.18,38.1,0,4,0.116,1,colinergico,0.111,0,core_imidazol
51,NZK2b_quinuclidina_propil_amina_oxazol,c1nc(NCCCC2CN3CCC2CC3)co1,0.6439,6.0,ALTA,235.2,2.21,41.3,1,4,0.1091,1,colinergico,0.107,0,core_imidazol
52,NZK2c_pyrimidilpiperazina_etil_amida_benzofuran,O=C(CC1CNCCN1c1ncccn1)Nc1ccc2ccoc2c1,0.6438,5.5,ALTA,337.2,2.03,83.3,2,6,0.1617,3,colinergico|glutamatergico|serotoninergico,0.136,0,pip_heterociclo
53,NZK2a_quinuclidina_propileno_sulfonamidapip,O=S(=O)(NCCCC1CN2CCC1CC2)c1ccc(N2CCNCC2)cc1,0.6433,5.27,ALTA,392.2,1.5,64.7,2,5,0.1371,2,colinergico|serotoninergico,0.111,0,core_piperazina
54,NZK2a_azanorbornano_propileno_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCN1CC2CCC1C2,0.6425,6.0,ALTA,301.2,1.3,44.3,1,5,0.1034,1,serotoninergico,0.113,0,core_piperazina
55,NZK2a_azanorbornano_butileno_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1CCCCN1CC2CCC1C2,0.6425,6.0,ALTA,315.2,1.69,44.3,1,5,0.1035,1,serotoninergico,0.125,0,core_piperazina
56,NZK2b_quinuclidina_etil_eter_oxazol,c1nc(COCC2CN3CCC2CC3)co1,0.6423,5.96,ALTA,222.1,1.53,38.5,0,4,0.1078,1,colinergico,0.11,0,core_imidazol
57,NZK2c_pyrimidilpiperazina_etil_carbonil_pirrolo_piridina,O=C(CC1CNCCN1c1ncccn1)c1cnc2[nH]ccc2c1,0.6422,5.5,ALTA,322.2,1.4,86.8,2,6,0.1556,3,dopaminergico|glutamatergico|serotoninergico,0.146,0,pip_heterociclo
58,NZK2a_quinuclidina_propileno_benzisoxazolpip,c1cc2onc(N3CCNCC3)c2cc1CCCC1CN2CCC1CC2,0.641,5.8,ALTA,354.2,2.9,44.5,1,5,0.1241,1,colinergico,0.14,0,core_piperazina
59,NZK2c_fenilpiperazina_etileno_pirrolo_piridina,c1ccc(N2CCNCC2CCc2cnc3[nH]ccc3c2)cc1,0.6407,5.26,ALTA,306.2,2.97,44.0,2,3,0.128,2,dopaminergico|serotoninergico,0.132,0,pip_heterociclo
60,NZK2a_quinuclidina_butileno_sulfonamidapip,O=S(=O)(NCCCCC1CN2CCC1CC2)c1ccc(N2CCNCC2)cc1,0.6395,5.17,ALTA,406.2,1.89,64.7,2,5,0.1353,2,colinergico|serotoninergico,0.11,0,core_piperazina
61,NZK2c_fenilpiperazina_etileno_indazol,c1ccc(N2CCNCC2CCc2ccc3[nH]ncc3c2)cc1,0.6394,5.26,ALTA,306.2,2.97,44.0,2,3,0.1228,2,dopaminergico|serotoninergico,0.133,0,pip_heterociclo
62,NZK2a_quinuclidina_etil_carbonil_pyrimidilpiperazina,O=C(CC1CN2CCC1CC2)c1cnc(N2CCNCC2)nc1,0.6393,6.0,ALTA,315.2,0.8,61.4,1,6,0.1438,2,colinergico|serotoninergico,0.149,0,core_piperazina
63,NZK2a_quinuclidinona_butileno_benzisoxazolpip,O=C1CC2CCN1CC2CCCCc1ccc2onc(N3CCNCC3)c2c1,0.6391,5.68,ALTA,382.2,2.82,61.6,1,5,0.1322,1,colinergico,0.171,0,core_piperazina
64,NZK2c_pyrimidilpiperazina_propileno_benzofuran,c1cnc(N2CCNCC2CCCc2ccc3ccoc3c2)nc1,0.6385,5.73,ALTA,322.2,3.02,54.2,1,5,0.1233,1,serotoninergico,0.128,0,pip_heterociclo
65,NZK2c_fenilpiperazina_etil_amida_pirrolo_piridina,O=C(CC1CNCCN1c1ccccc1)Nc1cnc2[nH]ccc2c1,0.6379,5.0,ALTA,335.2,2.37,73.1,3,4,0.1514,2,dopaminergico|serotoninergico,0.138,0,pip_heterociclo
66,NZK2c_fenilpiperazina_etil_amida_indazol,O=C(CC1CNCCN1c1ccccc1)Nc1ccc2[nH]ncc2c1,0.6378,5.0,ALTA,335.2,2.37,73.1,3,4,0.1513,2,dopaminergico|serotoninergico,0.152,0,pip_heterociclo
67,NZK2c_benzisoxazolpip_etil_carbonil_pirrolo_piridina,O=C(CC1CNCCN1c1noc2ccccc12)c1cnc2[nH]ccc2c1,0.6368,5.36,ALTA,361.2,2.76,87.0,2,6,0.1524,3,colinergico|glutamatergico|serotoninergico,0.132,0,pip_heterociclo
68,NZK2c_pyrimidilpiperazina_etil_amida_benzotiofeno,O=C(CC1CNCCN1c1ncccn1)Nc1ccc2sccc2c1,0.6358,5.5,ALTA,353.1,2.5,70.2,2,6,0.1431,1,glutamatergico,0.122,0,pip_heterociclo
69,NZK2b_quinuclidina_etileno_benzimidazol,c1nc2cc(CCC3CN4CCC3CC4)ccc2[nH]1,0.6356,5.63,ALTA,255.2,2.84,31.9,1,2,0.1252,1,colinergico,0.105,0,core_imidazol
70,NZK2b_quinuclidina_etileno_oxazol,c1nc(CCC2CN3CCC2CC3)co1,0.6349,5.73,ALTA,206.1,1.95,29.3,0,3,0.1089,1,colinergico,0.114,0,core_imidazol
71,NZK2b_quinuclidina_propileno_oxazol,c1nc(CCCC2CN3CCC2CC3)co1,0.6348,5.73,ALTA,220.2,2.34,29.3,0,3,0.1085,1,colinergico,0.111,0,core_imidazol
72,NZK2c_benzisoxazolpip_etileno_pirrolo_piridina,c1ccc2c(N3CCNCC3CCc3cnc4[nH]ccc4c3)noc2c1,0.6348,5.13,ALTA,347.2,3.12,70.0,2,5,0.1217,2,colinergico|serotoninergico,0.122,0,pip_heterociclo
73,REF_fluvoxamina_sigma,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,0.6347,5.55,ALTA,318.2,3.2,56.8,1,4,0.1322,1,sigma,0.137,0,referencia
74,NZK2b_3OH_quinuclidina_etil_carbonil_benzimidazol,O=C(CC1CN2CCC1CC2O)c1ccc2[nH]cnc2c1,0.6346,5.5,ALTA,285.1,1.8,69.2,2,4,0.1385,1,colinergico,0.179,0,core_imidazol
75,NZK2b_quinuclidinona_etileno_benzimidazol,O=C1CC2CCN1CC2CCc1ccc2[nH]cnc2c1,0.6345,6.0,ALTA,269.2,2.36,49.0,1,2,0.1382,0,,0.135,0,core_imidazol
76,NZK2b_quinuclidinona_etil_carbonil_tiazol_amino,O=C(CC1CN2CCC1CC2=O)Nc1nccs1,0.6339,6.0,ALTA,265.1,1.34,62.3,1,4,0.1354,0,,0.115,0,core_imidazol
77,NZK2b_quinuclidina_etil_amida_piperidin_imidazol,O=C(CC1CN2CCC1CC2)Nc1cn(C2CCNCC2)cn1,0.6329,5.5,ALTA,317.2,1.48,62.2,2,5,0.1315,1,colinergico,0.111,0,core_imidazol
78,NZK2b_quinuclidinona_etil_carbonil_piperidin_imidazol,O=C(CC1CN2CCC1CC2=O)c1cn(C2CCNCC2)cn1,0.6328,6.0,ALTA,316.2,1.25,67.2,1,5,0.1313,0,,0.123,0,core_imidazol
79,NZK2b_quinuclidina_etileno_tiazol_amino,c1csc(NCCC2CN3CCC2CC3)n1,0.6326,5.7,ALTA,237.1,2.29,28.2,1,4,0.1039,1,colinergico,0.095,0,core_imidazol
80,NZK2b_quinuclidina_etil_amida_tiazol_amino,O=C(CC1CN2CCC1CC2)NNc1nccs1,0.6325,5.5,ALTA,266.1,1.32,57.3,2,5,0.1301,1,colinergico,0.118,0,core_imidazol
81,NZK2a_quinuclidina_etil_eter_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1COCC1CN2CCC1CC2,0.6324,6.0,ALTA,317.2,0.74,53.5,1,6,0.1164,2,colinergico|serotoninergico,0.089,0,core_piperazina
82,REF_SB_277011A,O=C(NC1CCN(Cc2ccccc2)CC1)c1cc2ccccc2[nH]1,0.6317,4.69,ALTA,333.2,3.56,48.1,2,2,0.2214,3,colinergico|dopaminergico|glutamatergico,0.16,0,referencia
83,NZK2c_pyrimidilpiperazina_etileno_pirrolo_piridina,c1cnc(N2CCNCC2CCc2cnc3[nH]ccc3c2)nc1,0.6311,5.5,ALTA,308.2,1.76,69.7,2,5,0.1243,1,serotoninergico,0.108,0,pip_heterociclo
84,NZK2b_quinuclidinona_propileno_oxazol,O=C1CC2CCN1CC2CCCc1cocn1,0.6309,6.0,ALTA,234.1,1.87,46.3,0,3,0.1235,0,,0.129,0,core_imidazol
85,NZK2c_pyrimidilpiperazina_etil_carbonil_benzotiofeno,O=C(CC1CNCCN1c1ncccn1)c1ccc2sccc2c1,0.6309,5.88,ALTA,338.1,2.74,58.1,1,6,0.1395,0,,0.161,0,pip_heterociclo
86,NZK2b_quinuclidina_butileno_oxazol,c1nc(CCCCC2CN3CCC2CC3)co1,0.6307,5.62,ALTA,234.2,2.73,29.3,0,3,0.1068,1,colinergico,0.12,0,core_imidazol
87,NZK2c_pyrimidilpiperazina_propileno_pirrolo_piridina,c1cnc(N2CCNCC2CCCc2cnc3[nH]ccc3c2)nc1,0.6306,5.5,ALTA,322.2,2.15,69.7,2,5,0.1224,1,serotoninergico,0.115,0,pip_heterociclo
88,NZK2c_pyrimidilpiperazina_etil_eter_benzofuran,c1cnc(N2CCNCC2COCc2ccc3ccoc3c2)nc1,0.6306,6.0,ALTA,324.2,2.22,63.4,1,6,0.1224,0,,0.118,0,pip_heterociclo
89,NZK2b_quinuclidinona_butileno_oxazol,O=C1CC2CCN1CC2CCCCc1cocn1,0.6304,6.0,ALTA,248.2,2.26,46.3,0,3,0.1217,0,,0.141,0,core_imidazol
90,NZK2c_pyrimidilpiperazina_etil_eter_pirrolo_piridina,c1cnc(N2CCNCC2COCc2cnc3[nH]ccc3c2)nc1,0.6304,5.5,ALTA,324.2,1.35,79.0,2,6,0.1215,1,serotoninergico,0.105,0,pip_heterociclo
91,NZK2b_quinuclidinona_etileno_aminotiazol_pip,O=C1CC2CCN1CC2CCNc1nc(N2CCNCC2)cs1,0.6303,5.5,ALTA,335.2,1.22,60.5,2,6,0.1211,1,serotoninergico,0.101,0,core_imidazol
92,NZK2a_3OH_quinuclidina_etileno_benzisoxazolpip,OC1CC2CCN1CC2CCc1ccc2onc(N3CCNCC3)c2c1,0.6302,5.5,ALTA,356.2,1.83,64.8,2,6,0.1207,1,colinergico,0.125,0,core_piperazina
93,NZK2b_quinuclidinona_propileno_aminotiazol_pip,O=C1CC2CCN1CC2CCCNc1nc(N2CCNCC2)cs1,0.63,5.5,ALTA,349.2,1.61,60.5,2,6,0.1201,1,serotoninergico,0.099,0,core_imidazol
94,NZK2c_pyrimidilpiperazina_propileno_indazol,c1cnc(N2CCNCC2CCCc2ccc3[nH]ncc3c2)nc1,0.63,5.5,ALTA,322.2,2.15,69.7,2,5,0.1202,1,serotoninergico,0.115,0,pip_heterociclo
95,NZK2b_quinuclidina_propileno_tiazol_amino,c1csc(NCCCC2CN3CCC2CC3)n1,0.6298,5.62,ALTA,251.1,2.68,28.2,1,4,0.1031,1,colinergico,0.093,0,core_imidazol
96,NZK2b_quinuclidinona_etileno_tiazol_amino,O=C1CC2CCN1CC2CCNc1nccs1,0.6298,6.0,ALTA,251.1,1.81,45.2,1,4,0.1192,0,,0.111,0,core_imidazol
97,NZK2a_quinuclidina_propil_amina_pyrimidilpiperazina,c1nc(N2CCNCC2)ncc1NCCCC1CN2CCC1CC2,0.6297,5.5,ALTA,330.3,1.42,56.3,2,6,0.1187,1,serotoninergico,0.117,0,core_piperazina
98,NZK2b_quinuclidinona_propileno_benzimidazol,O=C1CC2CCN1CC2CCCc1ccc2[nH]cnc2c1,0.6297,5.87,ALTA,283.2,2.75,49.0,1,2,0.1361,0,,0.145,0,core_imidazol
99,NZK2c_pyrimidilpiperazina_butileno_pirrolo_piridina,c1cnc(N2CCNCC2CCCCc2cnc3[nH]ccc3c2)nc1,0.6296,5.48,ALTA,336.2,2.54,69.7,2,5,0.1209,1,serotoninergico,0.126,0,pip_heterociclo
100,REF_varenicline,c1cncc(-c2ccc3c(c2)C2CCCN2C3)c1,0.6294,4.75,ALTA,236.1,3.4,16.1,0,2,0.2176,1,colinergico,0.149,0,referencia
101,NZK2a_azanorbornano_etileno_benzisoxazolpip,c1cc2onc(N3CCNCC3)c2cc1CCN1CC2CCC1C2,0.629,6.0,ALTA,326.2,2.26,44.5,1,5,0.1159,0,,0.12,0,core_piperazina
102,NZK2b_quinuclidinona_etileno_piperidin_imidazol,O=C1CC2CCN1CC2CCc1cn(C2CCNCC2)cn1,0.629,6.0,ALTA,302.2,1.61,50.2,1,4,0.116,0,,0.122,0,core_imidazol
103,NZK2b_quinuclidinona_butileno_aminotiazol_pip,O=C1CC2CCN1CC2CCCCNc1nc(N2CCNCC2)cs1,0.629,5.48,ALTA,363.2,2.0,60.5,2,6,0.1186,1,serotoninergico,0.098,0,core_imidazol
104,NZK2c_pyrimidilpiperazina_etileno_benzofuran,c1cnc(N2CCNCC2CCc2ccc3ccoc3c2)nc1,0.629,5.93,ALTA,308.2,2.63,54.2,1,5,0.1252,0,,0.122,0,pip_heterociclo
105,NZK2c_pyrimidilpiperazina_butileno_indazol,c1cnc(N2CCNCC2CCCCc2ccc3[nH]ncc3c2)nc1,0.629,5.48,ALTA,336.2,2.54,69.7,2,5,0.1187,1,serotoninergico,0.126,0,pip_heterociclo
106,NZK2b_quinuclidinona_propileno_piperidin_imidazol,O=C1CC2CCN1CC2CCCc1cn(C2CCNCC2)cn1,0.6289,6.0,ALTA,316.2,2.0,50.2,1,4,0.1157,0,,0.118,0,core_imidazol
107,NZK2b_quinuclidinona_butileno_piperidin_imidazol,O=C1CC2CCN1CC2CCCCc1cn(C2CCNCC2)cn1,0.6285,6.0,ALTA,330.2,2.39,50.2,1,4,0.1142,0,,0.118,0,core_imidazol
108,NZK2c_fenilpiperazina_propileno_pirrolo_piridina,c1ccc(N2CCNCC2CCCc2cnc3[nH]ccc3c2)cc1,0.6278,4.89,ALTA,320.2,3.36,44.0,2,3,0.126,2,dopaminergico|serotoninergico,0.128,0,pip_heterociclo
109,NZK2a_quinuclidinona_etileno_indolpiperazina,O=C1CC2CCN1CC2CCc1ccc2c(CCN3CCNCC3)c[nH]c2c1,0.6275,5.36,ALTA,380.3,2.42,51.4,2,3,0.1287,1,serotoninergico,0.14,0,core_piperazina
110,NZK2a_3OH_quinuclidina_propileno_benzisoxazolpip,OC1CC2CCN1CC2CCCc1ccc2onc(N3CCNCC3)c2c1,0.6274,5.43,ALTA,370.2,2.22,64.8,2,6,0.119,1,colinergico,0.143,0,core_piperazina
111,NZK2a_quinuclidina_butileno_benzisoxazolpip,c1cc2onc(N3CCNCC3)c2cc1CCCCC1CN2CCC1CC2,0.6273,5.4,ALTA,368.3,3.29,44.5,1,5,0.1226,1,colinergico,0.151,0,core_piperazina
112,NZK2a_azanorbornano_propileno_sulfonamidapip,O=S(=O)(NCCCN1CC2CCC1C2)c1ccc(N2CCNCC2)cc1,0.6272,5.37,ALTA,378.2,1.25,64.7,2,5,0.126,1,serotoninergico,0.123,0,core_piperazina
113,NZK2b_quinuclidina_propileno_aminotiazol_pip,c1sc(NCCCC2CN3CCC2CC3)nc1N1CCNCC1,0.6272,5.5,ALTA,335.2,2.09,43.4,2,6,0.1086,1,serotoninergico,0.085,0,core_imidazol
